date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:18:26	27349/27349	---MCZ	200	added ('OK')	text/html	etag:W/%22456055e-6ad5-5809d6b4d4480%22	http://cadeniuc.ru/jorel/particle.html	E:/TenderJo_Project/HTML_Project/Temp_CV2/Temp_CV2/cadeniuc.ru/jorel/particle.html	(from )
11:18:27	777/777	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%223a40108-56e-561ca595b5880%22	http://cadeniuc.ru/robots.txt		(from )
11:18:27	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22456053e-47e-5809d6b4d4480%22	http://cadeniuc.ru/jorel/img/favicon.ico	E:/TenderJo_Project/HTML_Project/Temp_CV2/Temp_CV2/cadeniuc.ru/jorel/img/favicon.ico	(from http://cadeniuc.ru/jorel/particle.html)
11:18:28	121212/121212	---MCZ	200	added ('OK')	text/css	etag:W/%225c50a312-1d97c%22	http://cadeniuc.ru/jorel/libs/bootstrap/css/bootstrap.min.css	E:/TenderJo_Project/HTML_Project/Temp_CV2/Temp_CV2/cadeniuc.ru/jorel/libs/bootstrap/css/bootstrap.min.css	(from http://cadeniuc.ru/jorel/particle.html)
11:18:28	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	E:/TenderJo_Project/HTML_Project/Temp_CV2/Temp_CV2/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from http://cadeniuc.ru/jorel/particle.html)
11:18:28	1209/1209	---MCZ	200	added ('OK')	text/css	etag:W/%225c50a313-4b9%22	http://cadeniuc.ru/jorel/libs/owlcarousel/css/owl.carousel.css	E:/TenderJo_Project/HTML_Project/Temp_CV2/Temp_CV2/cadeniuc.ru/jorel/libs/owlcarousel/css/owl.carousel.css	(from http://cadeniuc.ru/jorel/particle.html)
11:18:28	1166/1166	---MCZ	200	added ('OK')	text/css	etag:W/%225c50a313-48e%22	http://cadeniuc.ru/jorel/libs/owlcarousel/css/owl.theme.css	E:/TenderJo_Project/HTML_Project/Temp_CV2/Temp_CV2/cadeniuc.ru/jorel/libs/owlcarousel/css/owl.theme.css	(from http://cadeniuc.ru/jorel/particle.html)
11:18:29	5418/5418	---MCZ	200	added ('OK')	text/css	etag:W/%225c50a313-152a%22	http://cadeniuc.ru/jorel/libs/magnific/css/magnific-popup.css	E:/TenderJo_Project/HTML_Project/Temp_CV2/Temp_CV2/cadeniuc.ru/jorel/libs/magnific/css/magnific-popup.css	(from http://cadeniuc.ru/jorel/particle.html)
11:18:29	54877/54877	---MCZ	200	added ('OK')	text/css	etag:W/%225c50a312-d65d%22	http://cadeniuc.ru/jorel/libs/animate_css/css/animate.min.css	E:/TenderJo_Project/HTML_Project/Temp_CV2/Temp_CV2/cadeniuc.ru/jorel/libs/animate_css/css/animate.min.css	(from http://cadeniuc.ru/jorel/particle.html)
11:18:29	25709/25709	---MCZ	200	added ('OK')	text/css	etag:W/%225c50a312-646d%22	http://cadeniuc.ru/jorel/libs/animated-text/css/animated-text.css	E:/TenderJo_Project/HTML_Project/Temp_CV2/Temp_CV2/cadeniuc.ru/jorel/libs/animated-text/css/animated-text.css	(from http://cadeniuc.ru/jorel/particle.html)
11:18:29	30855/30855	---MCZ	200	added ('OK')	text/css	etag:W/%225d014a41-7887%22	http://cadeniuc.ru/jorel/css/style.css	E:/TenderJo_Project/HTML_Project/Temp_CV2/Temp_CV2/cadeniuc.ru/jorel/css/style.css	(from http://cadeniuc.ru/jorel/particle.html)
11:18:29	2632/2632	---MCZ	200	added ('OK')	text/css	etag:W/%225c50a302-a48%22	http://cadeniuc.ru/jorel/css/media.css	E:/TenderJo_Project/HTML_Project/Temp_CV2/Temp_CV2/cadeniuc.ru/jorel/css/media.css	(from http://cadeniuc.ru/jorel/particle.html)
11:18:34	49962/49962	---M--	200	added ('OK')	image/jpeg	etag:%225c50a302-c32a%22	http://cadeniuc.ru/jorel/img/me.jpg	E:/TenderJo_Project/HTML_Project/Temp_CV2/Temp_CV2/cadeniuc.ru/jorel/img/me.jpg	(from http://cadeniuc.ru/jorel/particle.html)
11:19:48	482765/482765	---M--	200	added ('OK')	image/jpeg	etag:%225c50a311-75dcd%22	http://cadeniuc.ru/jorel/img/portfolio/thumbs/image_3.jpg	E:/TenderJo_Project/HTML_Project/Temp_CV2/Temp_CV2/cadeniuc.ru/jorel/img/portfolio/thumbs/image_3.jpg	(from http://cadeniuc.ru/jorel/particle.html)
11:19:52	478538/478538	---M--	200	added ('OK')	image/jpeg	etag:%225c50a311-74d4a%22	http://cadeniuc.ru/jorel/img/portfolio/thumbs/image_4.jpg	E:/TenderJo_Project/HTML_Project/Temp_CV2/Temp_CV2/cadeniuc.ru/jorel/img/portfolio/thumbs/image_4.jpg	(from http://cadeniuc.ru/jorel/particle.html)
11:20:35	777346/777346	---M--	200	added ('OK')	image/jpeg	etag:%225c50a311-bdc82%22	http://cadeniuc.ru/jorel/img/portfolio/thumbs/image_1.jpg	E:/TenderJo_Project/HTML_Project/Temp_CV2/Temp_CV2/cadeniuc.ru/jorel/img/portfolio/thumbs/image_1.jpg	(from http://cadeniuc.ru/jorel/particle.html)
11:20:36	2730/2730	---M--	200	added ('OK')	image/jpeg	etag:%225c50a309-aaa%22	http://cadeniuc.ru/jorel/img/slider_icon/avatar.jpg	E:/TenderJo_Project/HTML_Project/Temp_CV2/Temp_CV2/cadeniuc.ru/jorel/img/slider_icon/avatar.jpg	(from http://cadeniuc.ru/jorel/particle.html)
11:20:38	85578/85578	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225c50a313-14e4a%22	http://cadeniuc.ru/jorel/libs/jquery/js/jquery.min.js	E:/TenderJo_Project/HTML_Project/Temp_CV2/Temp_CV2/cadeniuc.ru/jorel/libs/jquery/js/jquery.min.js	(from http://cadeniuc.ru/jorel/particle.html)
11:20:39	36868/36868	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225c50a312-9004%22	http://cadeniuc.ru/jorel/libs/bootstrap/js/bootstrap.min.js	E:/TenderJo_Project/HTML_Project/Temp_CV2/Temp_CV2/cadeniuc.ru/jorel/libs/bootstrap/js/bootstrap.min.js	(from http://cadeniuc.ru/jorel/particle.html)
